District,Crop_Production_Rate_Yearly,Crop_Production_Rate_Monthly,Crop_Production_Rate_Weekly,Major_Crops,Avg_Rainfall_mm,Soil_Type,Irrigation_Source,Fertilizer_Usage_kg_per_ha,Avg_Temperature_C,Mandi_Price_Rupees_per_kg,Water_Requirement_L_per_ha,Pest_Incidence,Farmer_Count,pH_Level,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Nitrogen_kg_per_ha,Profit_Share_Percentage,Organic_Matter_Percentage,Sand_Percentage,Silt_Percentage,Clay_Percentage,Electrical_Conductivity_dS_per_m,Cation_Exchange_Capacity_meq_per_100g,Zinc_ppm,Iron_ppm,Manganese_ppm,Copper_ppm,Budget_per_Acre_Rs
Mayiladuthurai,32280,8164,1989,Cotton,1288,Black,Tanks,180,34,16,4592,High,26699,7.74,42,22,47,16.73,5.59,54,29,20,2.39,30.39,0.54,48.15,11.99,4.92,55000.0
Nagapattinam,48657,4182,800,Groundnut,830,Laterite,Wells,186,31,12,4417,Low,11351,6.86,45,24,38,28.44,1.81,20,40,26,0.39,18.22,6.0,26.74,1.31,3.33,35000.0
Kanyakumari,50495,6232,1900,Tapioca,1220,Black,Rain-fed,169,31,25,4846,High,23686,7.08,45,48,34,48.2,0.89,51,36,12,2.27,35.27,0.5,37.34,4.54,2.32,40000.0
Namakkal,86237,7407,1519,Maize,805,Alluvial,Wells,157,32,16,4226,High,32796,7.9,28,21,38,43.31,2.15,54,29,31,1.16,26.93,2.63,12.52,9.78,2.14,40000.0
Perambalur,98907,4061,1957,Cotton,1115,Laterite,Rain-fed,167,28,14,4588,Medium,14469,5.27,23,35,66,27.95,3.66,31,17,32,0.86,13.48,7.38,5.37,10.13,2.2,55000.0
Pudukkottai,23478,3055,2030,Sugarcane,1431,Black,Wells,122,29,11,4288,Low,15051,5.28,49,46,37,17.12,5.87,55,19,27,1.5,20.61,2.97,19.81,11.85,1.24,65000.0
Ramanathapuram,93563,7751,902,Groundnut,809,Red,Tube Wells,133,30,25,4580,Medium,24039,7.44,22,32,49,44.67,4.85,51,31,25,0.69,15.83,4.61,38.97,10.08,1.9,35000.0
Ranipet,46062,2805,708,Groundnut,1033,Red,Canals,186,34,25,4572,Low,27901,7.27,25,22,57,26.58,3.08,54,14,24,2.16,8.59,4.46,6.82,5.92,0.52,35000.0
Salem,91426,5581,413,Paddy,1269,Mixed,Tanks,144,30,13,4362,Medium,17286,7.77,22,59,80,26.74,2.97,23,17,36,2.24,33.42,7.03,44.44,8.77,0.85,45000.0
Sivagangai,74987,5716,1239,Sugarcane,1365,Alluvial,Canals,142,32,13,4872,Low,33242,5.31,20,39,72,22.2,4.68,45,14,37,0.62,32.96,5.21,40.73,9.76,2.15,65000.0
Tenkasi,48893,5324,448,Maize,772,Alluvial,Tanks,150,35,17,4028,Low,12373,5.66,28,37,53,26.42,4.05,46,14,19,0.31,32.85,9.06,13.27,7.3,1.09,40000.0
Thanjavur,78878,5585,877,Groundnut,1009,Black,Canals,175,31,11,4969,High,5672,5.71,25,29,30,29.52,4.4,24,33,18,1.56,23.16,1.64,37.69,8.31,3.3,35000.0
Theni,97236,8701,1509,Paddy,1245,Black,Tanks,153,29,22,5084,High,5091,8.01,35,33,41,32.42,3.04,40,32,29,2.39,22.19,4.49,23.42,12.05,0.66,45000.0
Thiruvallur,56463,4027,1109,Tapioca,1172,Mixed,Wells,135,25,15,4133,Low,17865,7.83,20,52,39,12.84,1.45,39,32,28,0.67,38.45,3.87,2.77,2.21,0.16,40000.0
Thiruvarur,20851,5574,1702,Cotton,1110,Black,Tube Wells,139,28,12,5201,Low,21081,5.72,47,46,80,32.96,4.63,42,13,15,2.47,27.01,8.58,21.73,9.98,3.85,55000.0
Thoothukudi,40926,1689,2119,Groundnut,1304,Mixed,Rain-fed,124,33,12,4930,Low,20023,7.86,37,23,42,45.67,2.13,59,10,19,2.25,18.5,9.23,34.69,9.36,4.69,35000.0
Tiruchirappalli,75392,2237,1820,Tapioca,1123,Laterite,Wells,105,26,17,4712,High,17352,6.5,18,31,48,31.02,3.99,52,29,22,2.49,5.31,6.5,25.68,5.79,2.72,40000.0
Tirunelveli,64597,4721,2196,Cotton,944,Red,Wells,174,31,23,4620,High,29863,6.9,10,22,61,37.59,1.59,41,12,26,1.31,7.71,2.51,32.94,7.93,2.68,55000.0
Tirupathur,56421,5640,419,Groundnut,1335,Laterite,Rain-fed,166,31,21,5319,Low,32789,8.19,44,41,59,33.6,5.36,52,38,24,0.49,32.05,3.21,33.8,1.58,2.22,35000.0
Tiruppur,40379,5245,1086,Cotton,949,Laterite,Canals,189,29,24,4459,High,32738,4.55,11,23,65,33.23,5.23,45,14,31,0.68,20.32,5.96,21.28,4.0,2.15,55000.0
Tiruvannamalai,48221,3472,402,Sugarcane,1261,Black,Tanks,143,34,14,4920,High,10150,6.36,32,54,74,33.41,3.92,44,39,12,2.06,17.25,3.78,38.75,12.2,3.72,65000.0
The Nilgiris,64118,3262,1954,Cotton,862,Red,Wells,178,31,24,4411,High,15950,7.72,46,59,74,25.68,3.04,34,38,19,1.86,5.31,1.04,13.18,12.15,1.6,55000.0
Vellore,33396,6278,1746,Cotton,1193,Black,Wells,115,34,11,5409,Medium,15750,4.54,44,54,72,49.12,3.22,42,28,39,0.9,8.76,2.73,6.79,0.88,1.53,55000.0
Viluppuram,32156,4390,1170,Groundnut,1093,Mixed,Canals,155,25,16,4564,High,5263,6.0,24,34,76,16.67,3.82,47,18,40,2.43,10.76,5.26,39.86,13.59,4.44,35000.0
Virudhunagar,69797,1898,2138,Groundnut,767,Red,Wells,158,27,16,4976,Low,12142,7.23,17,21,74,11.89,5.27,40,39,18,2.23,5.08,6.92,5.32,9.12,1.81,35000.0
Ariyalur,32676,1914,1911,Tapioca,1048,Red,Tanks,172,33,20,4799,Low,10265,7.56,18,58,30,40.54,2.49,38,18,22,1.72,30.45,4.26,22.68,4.91,3.07,40000.0
Chengalpattu,67052,3804,1889,Cotton,913,Black,Rain-fed,144,27,11,4552,Medium,25738,7.24,27,37,48,35.72,1.11,25,38,36,0.16,11.69,6.67,6.48,11.14,1.62,55000.0
Chennai,65082,5554,1029,Tapioca,1410,Alluvial,Tube Wells,136,29,10,4328,Low,16401,4.79,27,24,52,10.52,5.47,53,33,29,0.66,19.54,4.28,7.01,4.58,2.79,40000.0
Coimbatore,99131,6394,612,Tapioca,1305,Laterite,Tube Wells,114,34,14,4983,Medium,32146,7.56,15,33,61,13.07,4.64,21,17,16,2.33,5.06,3.84,48.23,4.29,1.74,40000.0
Cuddalore,54671,8728,820,Sugarcane,1141,Red,Rain-fed,101,33,20,4451,Medium,5362,5.75,20,37,76,49.64,5.18,30,33,35,0.33,13.9,5.52,17.95,11.66,3.22,65000.0
Dharmapuri,25695,8404,1485,Maize,1145,Black,Rain-fed,163,28,18,4897,High,7388,7.65,47,57,66,23.92,1.73,60,13,28,2.02,6.84,1.87,37.69,10.39,1.53,40000.0
Dindigul,80217,6859,887,Paddy,1280,Laterite,Rain-fed,187,34,15,4273,High,21162,6.29,13,20,59,41.81,3.35,55,35,29,0.68,36.86,7.38,3.23,8.42,1.01,45000.0
Erode,90284,7009,1259,Cotton,1050,Laterite,Canals,118,27,21,4035,High,11963,5.53,38,57,38,37.82,4.22,53,36,32,1.1,21.82,9.35,13.76,5.26,0.94,55000.0
Kallakurichi,36361,5355,1407,Sugarcane,1257,Mixed,Tube Wells,159,27,24,4480,Low,17434,7.31,31,47,53,14.6,0.74,31,18,20,1.41,24.53,8.84,11.87,9.27,2.35,65000.0
Kanchipuram,69615,3840,522,Cotton,1410,Black,Wells,187,35,16,5321,Low,15259,5.23,48,60,37,18.87,1.36,41,39,17,0.99,33.4,2.31,7.48,3.73,4.63,55000.0
Karur,30328,5896,691,Paddy,941,Alluvial,Canals,119,30,11,4995,High,13359,6.21,35,24,63,49.35,5.54,28,32,12,0.32,23.94,8.93,11.14,4.2,2.74,45000.0
Krishnagiri,92357,1566,1857,Maize,877,Alluvial,Tanks,166,25,22,4787,Low,9260,7.13,30,58,48,17.78,0.76,24,30,35,0.19,32.62,7.8,34.89,2.76,4.19,40000.0
Madurai,58427,8440,973,Maize,1378,Mixed,Rain-fed,137,26,22,4448,Low,34453,5.14,49,50,74,46.84,4.93,30,35,20,0.21,38.68,8.55,13.06,8.62,3.24,40000.0
Mayiladuthurai,67400,2380,590,Cotton,1385,Mixed,Wells,179,29,14,5129,High,17817,8.01,48,58,71,42.09,1.99,53,12,20,0.26,22.9,0.72,25.66,13.36,2.51,55000.0
Nagapattinam,95674,5030,489,Paddy,779,Black,Tube Wells,171,27,19,5043,Medium,11017,7.46,49,51,33,19.68,3.44,54,18,35,0.47,12.94,9.96,5.7,15.0,2.46,45000.0
Kanyakumari,45203,2597,874,Tapioca,1457,Alluvial,Wells,185,30,12,5314,Medium,14367,6.16,18,56,59,28.81,0.6,44,37,23,0.28,9.68,9.94,24.39,10.7,3.79,40000.0
Namakkal,29116,8729,2131,Cotton,1428,Laterite,Canals,120,32,17,4296,Low,8465,5.57,13,51,31,44.44,2.13,47,10,22,0.71,37.39,8.99,39.15,14.67,3.43,55000.0
Perambalur,26006,3666,1464,Groundnut,1287,Black,Wells,138,31,15,4224,Low,20052,6.31,17,28,43,23.18,2.11,57,35,19,1.41,7.1,9.8,12.32,9.52,2.91,35000.0
Pudukkottai,49871,7459,1245,Maize,1198,Red,Rain-fed,162,27,16,4548,High,22604,6.49,19,37,44,33.14,3.7,22,38,30,1.17,18.69,5.75,29.47,10.44,0.53,40000.0
Ramanathapuram,57930,4496,1835,Sugarcane,817,Black,Tube Wells,136,32,20,5477,High,13348,5.78,25,41,71,40.17,2.8,40,27,14,0.42,7.8,5.15,33.3,6.79,3.17,65000.0
Ranipet,30458,7757,1162,Sugarcane,1306,Alluvial,Tube Wells,108,25,24,4759,Medium,11021,5.18,41,29,69,11.82,0.78,59,39,16,0.73,31.16,2.92,3.32,12.71,1.99,65000.0
Salem,50512,4803,1338,Sugarcane,1310,Laterite,Tube Wells,137,35,10,5069,Low,24074,8.15,35,55,63,37.57,0.67,37,35,29,1.11,26.6,9.21,6.68,9.15,1.2,65000.0
Sivagangai,33238,4497,1931,Paddy,1174,Mixed,Tube Wells,101,27,24,4521,High,7003,6.77,22,37,38,43.39,0.77,44,25,18,1.12,15.34,4.43,27.85,0.81,0.89,45000.0
Tenkasi,69823,1870,573,Paddy,1033,Laterite,Canals,158,28,12,5412,Low,25569,4.57,14,27,35,19.71,2.08,57,26,10,1.42,18.02,8.98,8.58,7.76,3.37,45000.0
Thanjavur,56434,4781,1589,Tapioca,1268,Mixed,Canals,105,27,17,4202,Low,11120,4.82,40,33,48,36.9,3.81,58,17,40,1.38,34.77,6.86,4.44,14.91,1.32,40000.0
Theni,79429,1919,595,Maize,799,Red,Wells,127,29,19,4556,Medium,26675,6.1,39,43,58,34.06,2.8,53,18,14,1.64,26.65,5.9,2.7,14.38,2.45,40000.0
Thiruvallur,67819,6171,1435,Paddy,1155,Black,Canals,136,29,15,5348,Low,23765,6.67,29,44,65,39.99,2.45,39,32,30,1.62,31.7,8.24,49.28,1.22,4.16,45000.0
Thiruvarur,41319,6102,673,Tapioca,880,Alluvial,Tube Wells,175,26,14,5057,High,28018,5.07,47,59,73,24.86,1.75,31,39,22,0.54,26.63,9.36,19.81,6.63,0.59,40000.0
Thoothukudi,68520,3094,1705,Groundnut,1015,Red,Tanks,115,27,20,4635,Low,30529,6.92,33,37,39,41.06,2.78,54,35,35,0.25,33.5,3.95,8.22,13.87,3.41,35000.0
Tiruchirappalli,66566,4469,2079,Tapioca,1115,Black,Wells,106,28,11,4826,High,9897,4.61,27,53,79,30.14,2.08,52,37,35,1.46,31.34,2.89,24.89,1.55,0.18,40000.0
Tirunelveli,47460,6032,1207,Maize,771,Mixed,Tanks,162,28,13,4041,Low,12170,5.98,20,20,45,23.67,1.42,30,16,28,1.48,20.84,5.67,40.71,14.44,3.11,40000.0
Tirupathur,54993,3864,553,Tapioca,1312,Alluvial,Tube Wells,139,31,12,4128,Low,30863,7.4,14,39,42,26.84,2.6,54,31,34,2.17,35.63,1.63,20.78,4.73,3.59,40000.0
Tiruppur,29358,2102,1612,Maize,811,Alluvial,Tanks,100,26,23,5161,Low,12252,5.13,10,40,58,48.71,4.79,38,36,10,2.15,10.74,7.59,41.75,12.97,4.83,40000.0
Tiruvannamalai,99840,4664,1562,Groundnut,1401,Mixed,Wells,155,28,10,4219,Low,15083,6.87,34,22,71,44.7,4.32,48,30,37,0.6,37.6,7.03,23.54,6.72,3.43,35000.0
The Nilgiris,42431,5630,527,Groundnut,1310,Laterite,Canals,145,27,15,4494,Low,15847,4.97,21,49,76,37.2,1.26,22,24,27,0.41,27.66,8.62,35.25,9.76,4.0,35000.0
Vellore,90010,5189,1290,Groundnut,1489,Laterite,Tube Wells,184,35,20,4579,High,33049,5.79,48,33,39,46.68,2.51,41,38,40,0.15,15.01,2.4,8.09,13.13,4.07,35000.0
Viluppuram,52087,7761,1756,Cotton,1088,Laterite,Rain-fed,100,33,21,4516,High,8121,7.96,27,42,74,31.93,3.77,29,36,28,0.55,14.74,2.83,22.72,6.14,1.82,55000.0
Virudhunagar,41417,6004,667,Sugarcane,1035,Alluvial,Wells,106,30,11,4500,Medium,7285,8.22,15,44,33,43.23,5.58,22,25,35,0.85,14.44,8.9,14.96,1.99,4.98,65000.0
Ariyalur,80589,3791,884,Tapioca,1206,Black,Canals,132,25,14,5368,Medium,5499,6.14,46,51,66,16.13,1.71,35,28,22,1.29,14.01,0.84,24.95,11.51,0.58,40000.0
Chengalpattu,69735,8260,997,Sugarcane,1360,Black,Tanks,117,32,13,5138,Medium,29157,4.67,23,39,74,44.02,4.8,25,34,18,0.61,5.48,2.58,9.08,10.43,3.09,65000.0
Chennai,55382,6605,934,Maize,1376,Black,Tube Wells,144,27,17,5256,High,30803,6.87,38,52,75,49.97,1.77,34,27,34,0.59,21.65,3.08,44.2,12.61,1.96,40000.0
Coimbatore,93000,7073,2142,Groundnut,762,Red,Rain-fed,136,30,10,5176,Low,6046,5.76,31,20,47,18.71,3.77,30,14,40,0.83,34.48,8.25,46.21,4.54,3.37,35000.0
Cuddalore,48785,6505,1045,Tapioca,792,Red,Rain-fed,200,26,22,5085,Low,23720,7.16,49,56,50,35.28,0.96,59,32,28,0.35,10.94,3.15,4.91,14.57,3.71,40000.0
Dharmapuri,62504,2473,2040,Paddy,922,Laterite,Canals,164,32,10,4374,Low,6305,6.83,16,40,34,15.82,5.77,54,37,22,1.09,29.69,1.84,22.38,6.43,0.79,45000.0
Dindigul,27331,2554,1204,Groundnut,842,Laterite,Tanks,185,33,11,5285,High,26074,5.43,47,51,75,22.89,5.58,55,19,22,0.26,23.66,6.57,17.77,13.05,0.38,35000.0
Erode,50021,2292,1835,Maize,1294,Black,Wells,198,35,22,5017,High,34328,5.48,18,60,55,48.44,3.96,49,11,23,0.21,19.81,5.39,8.45,1.23,1.6,40000.0
Kallakurichi,24207,4726,2103,Sugarcane,1473,Laterite,Wells,171,31,13,5082,High,34240,7.17,21,60,61,23.68,0.82,25,34,31,0.15,30.14,3.85,33.71,14.55,4.56,65000.0
Kanchipuram,61347,4557,1906,Cotton,1351,Black,Rain-fed,119,28,17,4006,Low,18820,7.75,35,34,55,27.52,1.05,30,14,35,2.12,17.39,5.68,3.16,5.46,0.84,55000.0
Karur,72581,8011,1068,Groundnut,700,Mixed,Wells,111,32,11,4305,Low,32490,7.08,38,56,79,20.89,2.33,33,13,26,0.1,17.89,5.34,36.39,8.02,3.62,35000.0
Krishnagiri,55093,4277,1051,Sugarcane,1475,Black,Tube Wells,191,35,12,4040,Low,27176,5.19,14,36,76,43.35,3.07,30,39,12,0.13,23.16,6.1,12.5,14.69,2.15,65000.0
Madurai,28675,6069,1327,Maize,850,Red,Tube Wells,134,31,10,4670,Medium,6520,6.99,24,21,58,38.02,1.1,21,13,40,0.8,37.43,0.64,40.74,8.54,3.54,40000.0
Mayiladuthurai,47653,4495,956,Maize,1376,Black,Tanks,118,32,25,5412,Medium,16670,5.69,16,41,30,17.37,4.41,33,23,38,0.58,16.27,6.31,47.12,4.56,1.87,40000.0
Nagapattinam,94341,7684,878,Sugarcane,852,Laterite,Canals,193,28,22,5134,Low,13004,7.56,40,57,55,32.31,4.64,47,39,13,0.66,25.96,4.04,31.97,10.34,4.83,65000.0
Kanyakumari,61245,2681,552,Sugarcane,1163,Black,Tanks,125,26,19,4859,Low,5184,5.22,33,60,42,45.13,1.51,44,26,31,0.98,35.35,6.33,7.74,4.2,3.08,65000.0
Namakkal,47869,3130,815,Groundnut,1244,Laterite,Canals,155,31,22,5163,Low,25879,6.23,24,55,56,35.17,1.5,53,14,27,2.4,14.56,2.19,3.16,9.89,3.56,35000.0
Perambalur,85435,6435,678,Paddy,998,Black,Canals,174,27,24,4698,Low,30044,4.8,35,22,70,43.72,2.21,47,17,15,1.19,39.14,6.81,23.61,7.53,3.46,45000.0
Pudukkottai,71856,5670,1997,Groundnut,1099,Alluvial,Canals,110,30,17,4002,Low,22727,7.15,18,28,44,46.13,0.86,38,12,36,0.83,28.09,6.18,9.63,10.42,3.18,35000.0
Ramanathapuram,80142,4788,1977,Cotton,1330,Red,Tanks,137,27,25,4985,High,23211,6.99,37,47,72,43.26,3.2,28,16,14,0.21,29.41,8.2,45.07,14.64,1.23,55000.0
Ranipet,38726,5596,1597,Sugarcane,1291,Red,Rain-fed,128,31,18,4396,High,34934,4.61,27,20,38,43.28,5.26,48,25,28,1.23,12.47,9.54,36.96,5.17,4.04,65000.0
Salem,54718,1829,623,Cotton,1157,Black,Tube Wells,104,30,21,4383,Low,18566,7.18,40,30,80,44.71,2.82,50,29,35,2.44,31.37,4.64,31.83,7.52,2.58,55000.0
Sivagangai,38301,1871,718,Cotton,900,Mixed,Canals,160,29,24,4222,Medium,21725,5.86,30,59,63,45.92,5.83,54,40,35,0.45,22.14,2.05,24.88,4.63,1.53,55000.0
Tenkasi,52325,1818,616,Paddy,910,Laterite,Rain-fed,145,35,25,5500,Low,13299,5.28,19,36,57,46.18,0.57,44,28,14,1.73,31.77,2.78,41.01,0.6,2.03,45000.0
Thanjavur,93579,2622,736,Groundnut,1397,Black,Tanks,131,31,14,4627,High,12961,7.4,42,37,42,14.25,0.56,28,37,17,1.73,22.63,5.62,48.55,3.84,4.63,35000.0
Theni,90644,7345,1320,Tapioca,1024,Red,Tube Wells,186,34,24,5476,Medium,5456,5.39,50,29,30,38.13,0.86,47,31,31,1.53,25.76,1.29,3.09,3.36,4.94,40000.0
Thiruvallur,54438,4228,1354,Maize,1006,Mixed,Tanks,181,31,21,4870,High,9963,6.65,35,22,37,17.29,1.96,54,38,34,0.96,6.01,2.15,13.24,5.8,4.1,40000.0
Thiruvarur,96622,8086,1043,Cotton,1283,Laterite,Wells,149,33,17,4514,High,34045,7.91,26,34,34,17.51,5.55,41,33,30,1.91,16.0,3.73,35.38,11.32,3.45,55000.0
Thoothukudi,76155,5380,1232,Cotton,1395,Alluvial,Rain-fed,154,26,14,5425,High,34584,4.67,34,25,38,42.44,4.88,31,26,30,2.49,21.73,9.1,35.68,8.04,4.55,55000.0
Tiruchirappalli,96484,5754,647,Cotton,1011,Alluvial,Canals,151,30,19,4556,Medium,8822,6.8,16,42,80,14.86,1.7,50,12,38,1.21,21.42,1.67,2.54,6.5,3.89,55000.0
Tirunelveli,72350,5243,1497,Cotton,1145,Laterite,Tanks,112,32,15,5200,Low,7896,7.91,19,53,39,31.68,2.31,29,26,30,1.68,33.73,2.46,48.97,6.99,2.23,55000.0
Tirupathur,67447,2720,1133,Maize,1435,Black,Canals,133,35,22,4408,Low,17583,5.4,11,58,31,19.33,3.4,53,13,14,1.27,27.45,7.53,6.74,9.05,2.78,40000.0
Tiruppur,48746,6466,1977,Groundnut,1052,Red,Rain-fed,138,34,18,5287,High,17864,7.92,49,28,33,33.93,4.55,49,30,18,2.01,34.7,7.19,31.02,9.33,3.84,35000.0
Tiruvannamalai,38131,8816,825,Tapioca,791,Laterite,Rain-fed,176,25,15,4823,High,19551,4.76,37,41,76,24.32,2.97,44,10,22,0.28,12.31,9.99,40.51,3.08,0.53,40000.0
The Nilgiris,86784,5723,1325,Paddy,1296,Black,Tube Wells,139,28,21,5371,High,12207,7.07,17,53,73,13.91,2.18,21,40,27,1.35,20.53,9.67,48.43,2.71,3.63,45000.0
Vellore,84686,2645,1031,Tapioca,708,Laterite,Wells,122,34,10,5232,Low,31036,5.21,38,37,63,18.32,1.37,35,11,25,1.93,5.56,6.53,21.89,5.0,3.67,40000.0
Viluppuram,31915,4186,1348,Cotton,1326,Laterite,Wells,172,27,23,5157,Low,9459,5.11,24,59,48,40.9,3.46,29,35,14,2.24,15.92,4.97,43.27,4.9,2.05,55000.0
Virudhunagar,26175,6522,942,Sugarcane,1222,Mixed,Tanks,155,28,19,5155,Medium,25193,8.3,11,21,62,20.07,1.83,20,31,15,1.44,26.9,5.83,47.0,13.98,3.34,65000.0
Ariyalur,34371,4109,2145,Maize,1113,Red,Tanks,186,30,14,4730,High,5212,5.19,10,49,47,19.35,4.87,52,28,38,1.5,6.41,7.61,37.88,6.58,3.98,40000.0
Chengalpattu,40033,2831,645,Tapioca,830,Alluvial,Tube Wells,141,30,11,4196,Low,14227,4.81,46,32,38,22.56,4.69,50,22,11,1.29,25.53,9.53,15.33,9.86,1.05,40000.0
Chennai,40969,4719,585,Paddy,1001,Alluvial,Rain-fed,174,30,24,4778,Medium,34372,7.5,47,39,54,18.71,4.69,48,14,17,1.43,26.18,2.03,22.9,1.96,4.85,45000.0
Coimbatore,75333,6550,722,Sugarcane,763,Mixed,Rain-fed,117,33,23,4966,Medium,27227,6.55,20,29,46,12.11,3.89,55,37,24,2.14,30.54,9.64,47.67,4.42,2.92,65000.0
Cuddalore,98172,7556,2053,Tapioca,1078,Alluvial,Rain-fed,187,25,17,5279,Medium,15961,8.15,44,22,79,19.69,4.26,34,19,16,1.19,23.74,9.32,23.44,14.5,0.38,40000.0
Dharmapuri,28326,8402,1805,Sugarcane,1262,Alluvial,Tube Wells,198,34,22,4401,Low,34887,4.95,27,34,64,45.79,5.51,37,15,17,1.12,16.08,8.58,49.85,5.52,4.71,65000.0
Dindigul,70432,3951,1023,Sugarcane,754,Red,Canals,125,34,14,4501,High,19959,5.99,30,26,43,42.04,3.15,48,23,25,1.87,32.02,1.77,35.46,7.84,3.23,65000.0
Erode,70019,6363,2092,Cotton,700,Black,Wells,132,31,21,4665,Low,15947,5.11,18,56,43,33.91,3.12,25,21,32,2.3,33.61,5.38,27.85,3.57,1.16,55000.0
Kallakurichi,98104,4255,1843,Groundnut,1420,Laterite,Canals,117,26,16,4093,High,29714,6.24,27,48,78,30.85,5.64,20,24,27,2.18,13.05,1.34,5.81,14.93,4.66,35000.0
Kanchipuram,81348,5655,1827,Cotton,1273,Red,Rain-fed,153,35,22,4688,Low,33719,6.17,13,49,43,39.48,5.91,46,26,34,0.62,6.95,4.82,37.0,1.59,1.44,55000.0
Karur,89352,8285,1635,Tapioca,1067,Mixed,Wells,170,28,23,4730,Medium,23434,6.5,22,50,57,41.01,1.87,31,34,18,1.25,13.27,1.27,14.65,8.8,2.88,40000.0
Krishnagiri,52953,5675,482,Sugarcane,812,Mixed,Tanks,125,27,23,4965,High,23234,6.11,20,38,58,34.87,3.77,54,29,11,1.68,39.06,9.75,49.81,1.7,2.1,65000.0
Madurai,92512,5860,840,Paddy,988,Alluvial,Tube Wells,138,32,24,4493,High,30885,8.07,16,54,73,36.02,4.84,34,34,22,0.41,20.18,4.49,3.61,2.48,1.68,45000.0
Mayiladuthurai,21504,5512,2111,Cotton,731,Alluvial,Tanks,139,28,24,5090,Medium,22794,4.92,14,47,66,27.15,1.41,34,35,31,0.61,5.89,5.86,17.1,12.99,2.68,55000.0
Nagapattinam,35014,7305,2154,Paddy,940,Red,Tube Wells,110,25,24,4682,High,19783,6.83,32,49,54,36.46,4.73,37,23,32,1.39,9.67,3.95,4.67,6.35,3.49,45000.0
Kanyakumari,90381,6111,1071,Cotton,1142,Mixed,Wells,138,28,22,5009,Low,15593,6.62,24,43,31,24.49,1.4,60,35,12,1.38,17.44,9.18,47.97,3.58,4.67,55000.0
