District,Crop_Production_Rate_Yearly,Crop_Production_Rate_Monthly,Crop_Production_Rate_Weekly,Major_Crops,Avg_Rainfall_mm,Soil_Type,Irrigation_Source,Fertilizer_Usage_kg_per_ha,Avg_Temperature_C,Mandi_Price_Rupees_per_kg,Water_Requirement_L_per_ha,Pest_Incidence,Farmer_Count,pH_Level,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Nitrogen_kg_per_ha,Profit_Share_Percentage,Organic_Matter_Percentage,Sand_Percentage,Silt_Percentage,Clay_Percentage,Electrical_Conductivity_dS_per_m,Cation_Exchange_Capacity_meq_per_100g,Zinc_ppm,Iron_ppm,Manganese_ppm,Copper_ppm
Rupnagar,85265,5715,1180,Maize,1095,Calcareous,Tanks,152,28,30,5014,Medium,20710,7.5,40,70,110,36.64,2.74,32,26,39,0.76,31.29,4.8,4.03,2.7,1.34
Sahibzada Ajit Singh Nagar,110375,5905,1345,Wheat,1056,Clay,Canals,238,25,12,4127,Low,22035,7.3,31,29,66,19.29,2.52,36,19,15,1.07,15.43,2.78,13.19,6.41,1.15
Sangrur,107123,3944,2150,Rice,930,Alluvial,Canals,187,18,28,4703,Low,14855,7.04,59,47,108,18.71,1.31,34,18,33,2.28,11.83,1.38,15.18,5.84,2.26
Shaheed Bhagat Singh Nagar,58402,9050,1864,Cotton,1041,Clay,Tube Wells,148,16,16,4089,Low,21098,7.7,50,42,98,54.66,2.8,59,43,37,2.9,30.29,2.24,5.29,1.19,1.62
Tarn Taran,79018,3276,2421,Rice,369,Loam,Rain-fed,205,27,22,4788,Low,17207,7.5,39,69,107,53.73,0.99,43,22,22,0.37,13.64,3.85,9.21,3.25,0.34
Amritsar,80870,7689,1800,Cotton,837,Clay,Rain-fed,169,13,19,5563,Medium,9580,8.15,49,65,102,48.11,1.09,37,33,17,2.35,26.7,5.47,4.42,4.63,2.1
Barnala,119439,2692,2003,Cotton,467,Loam,Rain-fed,193,33,26,5886,High,22863,7.83,60,34,60,24.87,1.99,29,38,30,0.92,30.69,5.46,9.31,2.93,0.36
Bathinda,57864,8654,2349,Maize,786,Alluvial,Rain-fed,182,35,22,5264,High,16218,8.68,18,73,60,25.3,2.64,44,12,13,2.42,26.71,2.89,14.3,5.69,0.47
Faridkot,49959,6167,1989,Maize,547,Calcareous,Rain-fed,158,22,17,4097,Low,28654,7.5,39,39,110,17.78,0.73,38,44,11,2.81,12.45,2.03,5.48,3.13,1.13
Fatehgarh Sahib,90487,2206,2326,Sugarcane,473,Alluvial,Rain-fed,162,34,18,5329,High,30018,8.54,45,40,72,46.06,1.59,35,23,23,1.71,29.7,3.25,5.22,3.76,0.23
Fazilka,116581,9384,2206,Maize,755,Loam,Tube Wells,153,18,35,4824,High,15242,7.11,20,46,56,22.52,1.2,57,19,32,2.46,17.43,1.91,13.81,2.43,2.22
Ferozepur,53462,4332,1399,Rice,444,Clay,Tube Wells,197,31,16,5951,High,9943,7.38,28,35,60,12.7,2.58,47,24,13,0.19,21.16,5.62,4.88,2.97,0.21
Gurdaspur,104306,2511,1579,Wheat,1164,Loam,Tube Wells,205,33,14,5953,High,13631,7.39,49,33,64,44.5,1.43,37,26,10,1.23,25.81,3.03,6.33,2.83,2.31
Hoshiarpur,74408,2811,1253,Sugarcane,843,Loam,Rain-fed,178,34,16,5487,Medium,31678,8.69,39,54,106,12.17,0.62,28,14,32,1.45,14.12,1.84,17.38,4.99,0.53
Jalandhar,40874,2598,1145,Rice,1045,Loam,Tanks,150,34,27,4822,Medium,9414,8.09,46,42,53,42.99,1.91,59,12,17,1.76,30.18,2.54,11.71,6.75,0.35
Kapurthala,99299,5430,1352,Cotton,696,Clay,Rain-fed,189,26,35,5605,Medium,13133,8.11,59,36,87,20.78,1.47,36,41,16,2.32,14.46,1.22,8.65,4.32,1.17
Ludhiana,118785,3632,2314,Cotton,569,Clay,Canals,136,27,26,5227,High,26257,7.46,38,32,110,39.76,1.72,30,43,18,2.93,12.86,2.51,13.61,5.09,2.19
Malerkotla,41508,2462,811,Wheat,881,Calcareous,Canals,120,34,26,4763,Medium,6716,8.51,27,53,61,14.06,1.03,52,27,12,1.55,14.76,2.49,11.63,2.39,1.58
Mansa,91477,5466,1824,Maize,1185,Alluvial,Tube Wells,231,24,30,4774,High,17627,7.39,41,32,48,19.12,1.2,43,19,26,3.0,20.94,4.19,11.83,4.78,0.38
Moga,71468,6902,2204,Rice,602,Calcareous,Canals,190,18,19,4619,Low,30363,7.62,46,67,57,13.42,2.38,53,40,23,0.27,16.13,0.99,4.94,3.23,1.84
Muktsar Sahib,82772,2737,1410,Cotton,426,Calcareous,Tube Wells,185,18,23,5325,Low,8859,7.21,56,59,103,12.33,1.45,58,27,19,0.9,22.14,2.48,10.1,1.5,0.51
Pathankot,35590,4844,730,Wheat,739,Loam,Canals,151,25,32,4395,Low,23605,8.55,47,57,60,27.44,1.05,26,44,32,1.69,28.77,2.86,7.04,3.17,1.44
Patiala,65310,3991,691,Rice,883,Loam,Tube Wells,197,21,35,4771,Low,29184,7.02,30,74,101,35.44,2.23,35,21,25,2.15,13.69,1.18,14.45,1.83,1.32
Rupnagar,103131,7867,1739,Wheat,772,Alluvial,Tube Wells,222,24,25,5848,Low,21578,7.45,52,31,83,28.72,0.94,50,12,40,0.38,22.49,2.55,9.65,3.02,0.74
Sahibzada Ajit Singh Nagar,30998,9568,604,Wheat,779,Clay,Tanks,224,29,34,5855,High,5482,7.63,15,27,108,25.6,1.83,56,36,10,0.84,29.89,1.47,9.36,2.06,2.54
Sangrur,85732,4052,569,Wheat,1035,Loam,Tube Wells,239,38,27,5991,Low,9200,8.66,26,58,101,28.39,2.02,27,21,33,0.51,26.78,2.87,15.36,4.82,1.83
Shaheed Bhagat Singh Nagar,56707,7454,2138,Cotton,765,Calcareous,Tube Wells,150,12,14,4555,High,23610,7.93,19,75,90,16.08,2.63,33,40,26,2.1,17.31,4.81,4.65,3.16,0.98
Tarn Taran,77517,5115,2423,Maize,991,Calcareous,Tube Wells,216,12,15,5235,Low,19888,8.57,42,56,96,51.73,1.49,43,16,26,1.82,31.93,3.52,6.41,6.0,0.53
Amritsar,100033,7622,1398,Sugarcane,911,Loam,Tanks,189,20,31,5147,Medium,9206,7.87,30,71,88,17.37,2.5,38,25,39,2.08,24.15,5.43,7.2,6.14,1.85
Barnala,40592,6389,1423,Cotton,952,Sandy Loam,Tube Wells,162,34,34,4839,High,30319,7.09,45,66,97,44.71,2.73,38,27,29,1.94,18.27,2.87,8.61,2.3,1.54
Bathinda,90566,8324,790,Cotton,906,Sandy Loam,Tanks,143,16,29,4160,Medium,14317,7.04,13,72,71,53.09,1.38,36,27,39,2.67,11.79,1.27,5.61,6.58,2.08
Faridkot,97981,4477,1125,Rice,1168,Clay,Rain-fed,141,39,15,4587,High,13465,7.06,43,31,63,38.88,1.82,33,22,27,2.24,10.54,2.21,6.88,5.48,2.01
Fatehgarh Sahib,55962,9345,1954,Sugarcane,946,Calcareous,Rain-fed,208,37,22,5844,High,11573,8.46,20,36,74,16.33,1.7,50,21,30,0.72,11.63,3.79,16.67,3.77,0.22
Fazilka,109365,7011,1947,Rice,476,Alluvial,Tanks,134,38,32,4642,Medium,8789,7.21,51,69,78,16.68,1.78,25,42,31,2.83,22.83,2.05,17.68,5.1,1.18
Ferozepur,90647,3189,1664,Sugarcane,567,Alluvial,Rain-fed,197,13,26,4445,High,12554,8.04,40,45,53,21.83,2.32,60,33,23,1.27,20.79,5.18,4.73,2.7,1.39
Gurdaspur,36726,6424,1262,Wheat,482,Alluvial,Tanks,242,36,12,5516,Medium,18374,8.42,17,58,103,27.11,2.65,64,25,11,1.64,14.28,2.59,8.76,1.5,1.6
Hoshiarpur,76861,4293,1907,Maize,1107,Alluvial,Rain-fed,225,18,12,5595,Medium,21883,7.4,45,54,61,51.65,1.23,45,22,35,1.57,13.46,3.83,10.49,3.28,0.86
Jalandhar,46926,8019,599,Cotton,933,Alluvial,Rain-fed,169,31,16,5016,Low,31308,7.03,52,48,70,24.65,1.4,52,14,26,2.82,31.89,1.01,7.57,2.15,0.97
Kapurthala,58288,2338,644,Rice,391,Sandy Loam,Canals,229,13,24,5994,High,32982,7.43,36,41,96,14.18,2.14,29,14,25,1.9,21.28,2.2,4.78,4.35,1.62
Ludhiana,51077,2697,969,Wheat,430,Sandy Loam,Rain-fed,149,32,31,4156,Low,17201,8.01,25,48,86,40.6,2.64,63,34,30,1.39,22.26,4.59,13.34,2.16,0.73
Malerkotla,87896,4951,1942,Wheat,482,Clay,Canals,173,17,28,4804,Low,12572,7.26,43,74,99,49.11,2.8,63,30,32,1.43,26.47,2.36,12.34,2.64,2.16
Mansa,108042,7686,997,Cotton,395,Calcareous,Tube Wells,204,27,17,4700,Medium,18946,7.75,31,26,71,32.48,2.71,49,32,19,0.68,21.24,1.1,11.23,5.3,2.18
Moga,53281,3331,962,Cotton,452,Sandy Loam,Tanks,205,38,31,5835,Low,16051,8.57,39,68,54,35.44,0.72,26,45,17,0.55,21.41,2.18,10.55,2.09,2.22
Muktsar Sahib,95954,5135,564,Sugarcane,686,Alluvial,Tanks,136,30,33,4208,High,32116,7.21,28,36,104,45.87,2.17,33,10,20,0.17,16.9,4.9,17.51,5.38,0.33
Pathankot,116546,7412,1666,Cotton,476,Calcareous,Tube Wells,155,24,17,4633,Low,30380,7.36,12,61,94,53.27,2.52,36,35,11,1.43,17.38,3.28,11.09,1.03,0.46
Patiala,53071,7158,2485,Maize,1010,Calcareous,Tube Wells,239,33,22,5321,Low,29616,7.53,28,61,74,43.4,1.81,58,45,35,0.23,29.95,3.43,13.34,6.07,1.3
Rupnagar,34857,7853,1527,Rice,661,Alluvial,Canals,153,15,33,5617,Low,11789,8.55,21,41,76,17.49,0.98,43,13,17,1.41,24.66,1.2,8.82,3.1,1.24
Sahibzada Ajit Singh Nagar,44390,2259,2136,Rice,1103,Alluvial,Tanks,147,23,12,5821,Low,23444,7.12,34,59,102,42.54,2.67,54,40,11,0.56,11.28,0.82,11.13,3.7,2.16
Sangrur,33054,5860,2206,Wheat,585,Calcareous,Rain-fed,130,35,18,5034,High,32689,7.61,13,38,80,21.34,2.64,32,42,31,0.34,22.66,1.39,6.05,5.04,0.84
Shaheed Bhagat Singh Nagar,52437,6089,2329,Rice,764,Clay,Tube Wells,146,38,29,5158,Low,16070,7.3,27,33,69,31.49,2.7,49,32,36,1.07,28.51,4.76,9.41,5.98,0.56
Tarn Taran,92092,7012,2376,Wheat,745,Loam,Rain-fed,235,33,17,5894,Medium,14783,7.82,21,44,109,35.58,1.78,33,45,33,0.4,18.53,3.52,5.19,3.7,1.85
Amritsar,119635,7749,2281,Cotton,1099,Calcareous,Canals,220,18,22,5438,Medium,22250,8.63,12,33,72,23.62,0.69,29,29,36,0.55,28.57,5.62,14.87,2.2,1.12
Barnala,84922,6676,1246,Rice,699,Loam,Rain-fed,173,23,20,4588,Low,22389,8.0,39,74,86,35.21,1.17,55,16,10,2.21,31.3,4.54,14.43,1.65,1.55
Bathinda,40637,3686,1400,Sugarcane,522,Loam,Rain-fed,186,12,20,4141,Medium,30596,7.09,60,42,60,17.4,1.66,40,41,27,0.89,14.25,4.41,8.02,2.2,1.1
Faridkot,85760,5939,1236,Sugarcane,740,Sandy Loam,Tube Wells,238,37,29,4961,Low,29830,8.42,18,72,46,32.77,2.05,40,32,39,2.69,12.28,1.61,16.1,3.07,2.45
Fatehgarh Sahib,112839,2995,1405,Cotton,596,Loam,Rain-fed,210,39,25,5957,Low,17134,7.49,25,68,71,13.68,1.25,46,17,26,2.51,14.9,5.08,8.87,2.21,1.44
Fazilka,41274,3115,2004,Cotton,974,Loam,Tube Wells,131,22,16,4893,High,21549,8.32,38,48,70,37.34,2.7,57,42,15,2.67,25.76,5.56,8.23,2.25,1.05
Ferozepur,48731,2641,939,Rice,833,Calcareous,Rain-fed,149,15,14,5714,Medium,16885,8.53,36,36,67,23.37,0.77,42,12,40,2.28,20.22,4.29,6.29,2.57,0.44
Gurdaspur,70607,5415,1137,Rice,1057,Clay,Tanks,164,16,12,4354,High,18381,7.58,13,75,106,44.67,2.54,25,15,19,2.07,19.4,4.12,17.22,1.29,1.25
Hoshiarpur,110922,4405,2200,Sugarcane,817,Loam,Tanks,195,17,24,5830,High,21094,7.69,13,31,94,22.06,2.08,28,38,35,0.42,13.68,3.79,5.69,4.59,0.57
Jalandhar,30742,8794,1676,Wheat,847,Alluvial,Rain-fed,192,30,14,4374,Low,9668,8.17,24,43,75,21.91,0.74,62,44,17,2.01,17.5,2.78,15.43,6.39,2.31
Kapurthala,79946,3578,1341,Maize,424,Loam,Tube Wells,174,17,32,5676,Medium,12987,7.54,51,69,94,50.11,1.77,45,26,25,2.87,17.63,1.4,7.86,1.86,0.75
Ludhiana,73214,8306,2032,Maize,595,Sandy Loam,Tanks,223,28,32,4878,High,20718,7.43,23,61,67,14.83,1.77,63,20,15,2.99,12.11,2.99,9.57,1.56,1.17
Malerkotla,47801,2828,1034,Rice,1172,Loam,Rain-fed,150,40,28,5678,High,14761,7.1,46,27,78,28.92,1.63,28,28,40,2.52,29.85,1.93,15.19,5.54,2.26
Mansa,98603,9387,1206,Cotton,857,Loam,Rain-fed,130,22,26,4855,Low,31754,7.65,25,25,63,16.92,0.7,37,17,24,2.49,22.75,5.08,13.36,4.3,1.95
Moga,83127,8553,1463,Sugarcane,691,Clay,Tube Wells,170,27,28,4045,Medium,30925,8.57,49,25,79,16.58,1.62,55,37,14,2.93,14.84,3.96,14.72,3.62,2.18
Muktsar Sahib,56318,9549,2205,Maize,808,Calcareous,Tube Wells,193,31,15,4121,Low,30236,7.85,45,58,96,19.53,1.43,50,11,36,0.93,11.91,3.33,9.1,2.55,2.36
Pathankot,37261,8603,2140,Cotton,870,Alluvial,Rain-fed,149,25,17,4237,High,15042,8.33,57,58,94,13.72,0.75,44,28,26,1.57,15.25,4.52,9.02,6.87,2.2
Patiala,113942,9164,2457,Wheat,627,Calcareous,Tube Wells,244,40,27,4298,Medium,11558,8.47,20,73,42,44.6,2.38,35,13,22,0.86,25.38,4.98,12.57,6.66,1.39
Rupnagar,57713,5965,948,Cotton,539,Loam,Rain-fed,165,18,21,5467,Low,19944,7.37,27,40,96,53.42,1.35,49,42,13,1.22,22.41,1.32,9.91,5.13,0.82
Sahibzada Ajit Singh Nagar,88061,5409,1589,Rice,443,Clay,Tube Wells,220,24,12,5398,Low,21055,7.24,29,40,43,50.71,1.82,38,19,34,1.94,31.25,3.23,4.36,6.5,1.71
Sangrur,63761,3753,2497,Maize,661,Loam,Canals,238,34,31,4827,Medium,4626,8.18,22,75,51,30.11,1.25,54,11,11,0.79,21.59,1.18,10.44,2.43,2.39
Shaheed Bhagat Singh Nagar,101495,8331,1786,Maize,862,Clay,Canals,122,38,18,5632,Low,18491,8.32,30,54,63,28.97,1.38,51,32,36,1.13,15.01,1.66,12.52,4.28,0.96
Tarn Taran,82961,5063,1326,Wheat,1091,Sandy Loam,Canals,171,18,12,4133,Low,6228,8.62,16,62,61,47.46,2.07,54,24,19,2.39,19.87,1.07,17.68,1.42,0.94
Amritsar,46561,9163,965,Rice,966,Calcareous,Canals,168,33,26,4156,Medium,14275,7.86,13,57,40,23.81,1.21,32,37,38,0.56,22.79,1.88,15.27,3.17,0.58
Barnala,76374,4871,1570,Sugarcane,901,Alluvial,Tanks,231,24,22,5966,High,24171,8.68,58,66,47,28.45,2.36,65,24,29,1.33,17.9,2.27,8.68,5.02,1.81
Bathinda,92409,2422,1514,Sugarcane,1078,Sandy Loam,Tanks,197,32,34,5162,Low,17838,8.39,28,54,74,28.26,1.67,60,13,14,0.53,11.43,3.67,6.14,6.83,1.5
Faridkot,37316,3582,2129,Rice,966,Calcareous,Canals,179,34,23,4151,Low,23109,8.14,44,63,92,32.77,2.12,65,24,13,0.39,23.02,2.33,16.41,1.54,1.2
Fatehgarh Sahib,47160,4675,2232,Wheat,563,Calcareous,Tanks,218,26,27,4684,Low,11304,7.24,47,34,94,51.73,2.4,43,38,21,2.31,12.38,3.42,5.57,4.41,1.56
Fazilka,108599,4234,697,Wheat,663,Loam,Tanks,170,13,33,5450,Low,28024,8.12,32,31,89,36.14,0.64,47,26,16,2.3,29.68,4.51,9.02,6.84,1.22
Ferozepur,49718,6871,828,Cotton,416,Clay,Rain-fed,201,17,13,5242,Low,29417,7.72,38,28,70,21.19,2.56,60,31,24,1.37,13.33,4.5,5.54,4.79,1.05
Gurdaspur,109696,7897,1844,Rice,720,Clay,Tanks,148,19,27,4667,Low,12146,7.6,19,52,42,22.97,1.52,49,16,28,1.0,27.89,5.47,11.17,5.03,1.87
Hoshiarpur,83516,5385,1457,Maize,990,Calcareous,Canals,250,30,19,5467,High,27613,7.01,25,55,87,23.42,2.11,42,37,35,0.72,18.86,2.77,16.72,2.64,1.7
Jalandhar,46301,8601,1385,Rice,999,Alluvial,Tube Wells,220,12,23,4261,Medium,8617,7.26,40,53,53,43.34,1.25,65,27,12,2.71,18.93,4.42,8.44,2.63,2.55
Kapurthala,42646,2667,2495,Maize,738,Alluvial,Tube Wells,189,12,23,4650,Low,32445,7.87,35,47,86,30.97,1.95,62,20,18,1.86,16.32,1.16,4.75,6.36,0.81
Ludhiana,45560,2668,1212,Cotton,613,Clay,Rain-fed,164,15,13,4161,Medium,8721,8.2,32,49,71,33.48,2.66,29,23,14,1.91,31.64,4.51,13.73,5.21,2.09
Malerkotla,48830,9907,608,Rice,545,Loam,Tube Wells,141,34,26,5737,Medium,6055,7.28,58,38,47,49.79,1.82,50,17,31,1.59,11.93,2.51,7.53,3.73,2.01
Mansa,68793,8690,1033,Cotton,599,Sandy Loam,Rain-fed,200,27,24,5639,Medium,6270,8.03,18,58,78,39.14,1.49,54,18,34,2.63,20.1,5.26,5.81,6.97,0.99
Moga,52824,7168,2290,Rice,1049,Loam,Rain-fed,201,32,20,5560,Medium,5459,7.54,24,59,57,16.87,2.53,56,14,33,0.41,15.63,3.3,9.28,1.23,1.12
Muktsar Sahib,53284,9814,926,Rice,833,Sandy Loam,Canals,188,13,33,4644,High,4435,8.32,50,52,69,51.92,0.78,65,45,35,1.35,15.09,2.37,17.03,3.41,1.74
Pathankot,83723,8920,2108,Sugarcane,423,Alluvial,Tube Wells,180,32,14,5729,Medium,24946,7.2,31,37,95,26.4,2.13,51,18,14,2.67,15.49,2.89,16.66,2.07,0.84
Patiala,49072,6726,1841,Maize,712,Sandy Loam,Canals,178,16,12,4129,Medium,25486,7.21,58,47,98,34.61,1.89,36,19,24,2.23,23.18,0.84,17.69,4.33,2.36
Rupnagar,57207,7910,1109,Cotton,1013,Loam,Rain-fed,129,14,21,5076,High,19045,7.11,36,51,106,34.16,0.79,42,16,12,1.35,15.74,5.22,5.0,3.46,0.68
Sahibzada Ajit Singh Nagar,103526,3141,1985,Wheat,641,Sandy Loam,Tube Wells,209,24,29,5492,High,7986,7.09,51,44,56,41.05,2.17,40,18,39,2.01,21.38,2.69,13.16,2.44,1.08
Sangrur,71825,9108,1483,Wheat,895,Sandy Loam,Tanks,224,32,32,4570,Medium,21960,7.7,35,70,40,47.58,0.82,60,41,16,0.87,13.27,0.94,4.15,3.68,1.41
Shaheed Bhagat Singh Nagar,95422,6541,972,Maize,1128,Alluvial,Canals,246,12,25,4138,Low,7911,8.45,42,48,107,18.49,2.2,51,16,37,2.59,23.61,1.13,14.29,3.27,0.98
Tarn Taran,60658,7294,2239,Sugarcane,363,Calcareous,Rain-fed,202,17,27,5141,Medium,28434,8.39,58,68,67,27.68,1.44,38,21,38,1.38,21.84,5.2,13.54,2.52,1.05
Amritsar,63763,4774,1943,Sugarcane,371,Clay,Tube Wells,142,32,14,5714,Medium,11940,7.72,38,63,45,24.17,1.18,47,34,34,1.55,28.16,1.03,6.72,5.78,1.58
Barnala,45363,7408,1595,Rice,888,Calcareous,Rain-fed,147,15,17,4448,High,28422,7.8,37,45,87,42.81,1.1,37,43,28,0.76,16.77,5.39,5.18,1.68,1.91
Bathinda,77409,7092,1339,Cotton,439,Calcareous,Tanks,196,28,16,5254,Medium,19581,8.24,22,25,84,19.99,1.66,41,39,17,0.81,28.59,3.29,4.71,2.65,2.46
Faridkot,54373,7046,1971,Rice,785,Clay,Tanks,142,37,33,5527,Low,25329,8.05,17,50,63,54.04,2.6,28,45,40,2.87,14.0,2.52,16.86,2.82,1.8
Fatehgarh Sahib,118909,2282,561,Rice,377,Alluvial,Tube Wells,185,23,26,5365,High,8096,8.49,12,27,84,18.59,1.35,63,44,36,0.59,11.37,4.21,5.51,2.6,1.84
Fazilka,39488,9792,947,Maize,533,Loam,Tanks,168,24,19,5079,Medium,4069,8.69,56,43,40,20.03,2.36,57,38,37,0.87,21.12,4.46,15.13,1.78,0.74
Ferozepur,95697,2532,1340,Wheat,1117,Alluvial,Tanks,227,21,23,5949,High,18013,7.54,60,48,80,35.52,1.63,52,41,39,0.78,30.87,2.66,4.11,4.31,1.09
Gurdaspur,67711,3455,572,Wheat,698,Calcareous,Tube Wells,237,28,21,4138,Low,21481,8.08,60,36,96,51.17,1.25,63,17,28,0.4,25.45,5.13,7.28,3.42,2.15
Hoshiarpur,31461,5269,576,Wheat,1041,Calcareous,Rain-fed,222,38,34,4902,Low,25078,7.81,18,55,49,18.24,1.05,31,34,20,1.92,29.64,1.39,13.75,5.27,2.31
Jalandhar,106767,4672,749,Cotton,416,Sandy Loam,Canals,123,22,33,5408,Medium,13514,8.61,37,69,107,52.11,2.6,60,40,40,1.62,30.18,3.94,5.58,4.46,0.95
Kapurthala,36249,4542,910,Sugarcane,546,Sandy Loam,Tanks,147,15,24,5970,High,30175,7.01,17,55,105,36.03,0.67,63,20,14,2.54,29.1,3.86,4.62,2.47,2.54
Ludhiana,74228,3620,1802,Cotton,660,Clay,Tanks,246,17,13,5556,Medium,16286,8.52,55,28,63,45.74,1.35,60,14,21,2.13,24.39,4.59,9.22,5.74,2.44
Malerkotla,58353,8469,962,Wheat,1188,Loam,Tanks,158,20,14,4382,High,18128,8.17,29,35,107,43.33,0.8,63,17,30,2.28,17.5,3.39,10.86,3.3,2.12
Mansa,79410,5264,1386,Wheat,524,Alluvial,Tube Wells,180,24,35,4879,High,6545,7.19,23,42,53,20.29,2.26,42,24,35,0.49,28.48,1.55,7.04,1.48,1.04
Moga,82310,2778,1281,Sugarcane,884,Sandy Loam,Tube Wells,224,22,21,5605,High,13815,7.69,54,35,67,14.63,2.67,33,15,18,1.7,31.55,2.08,13.04,2.34,0.41
Muktsar Sahib,74139,3027,1561,Maize,536,Alluvial,Tube Wells,236,17,32,5525,Low,18280,8.11,24,52,87,46.41,2.25,38,37,24,1.0,20.91,2.13,8.48,3.06,0.99
Pathankot,82351,3310,2043,Sugarcane,559,Loam,Rain-fed,173,19,24,5016,High,26557,7.36,14,48,45,44.96,1.34,34,42,27,1.84,25.79,3.95,12.99,4.86,0.49
Patiala,80585,7866,1933,Sugarcane,915,Alluvial,Tube Wells,139,30,28,4182,High,6741,7.13,39,58,76,12.23,1.82,38,16,27,0.64,30.28,2.07,5.59,2.53,1.33
Rupnagar,84272,7581,1380,Wheat,1070,Clay,Tube Wells,227,20,15,4541,Low,31770,8.07,31,48,73,52.27,2.28,49,11,22,2.35,17.07,1.64,4.38,1.3,2.06
Sahibzada Ajit Singh Nagar,78624,5274,1432,Rice,1009,Clay,Tanks,224,23,27,4492,Medium,19897,7.35,33,70,50,27.11,0.82,63,32,11,1.37,16.09,5.39,4.58,3.76,2.17
